Fall 2021-2022(202210),12898,RCOD,341,1,Rural Devel:Th.eor,Deb.&Chall.,3,3,AG,8,2,1500,1730,AGRIC,210,.,.,.,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Giuliano,Martiniello,,,
Fall 2021-2022(202210),13178,RCOD,342,1,Qualit.Resea. Meth.in Rural De,4,4,AG,4,6,1500,1730,.,.,M,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Elias,Ghadban,,,
Fall 2021-2022(202210),12899,RCOD,344,1,Practicum,4,4,AG,0,6,1515,1630,REYNOL,103,.,.,.,R,.,.,.,1515,1630,REYNOL,103,.,.,.,R,.,.,.,Shady,Hamadeh,,,
Fall 2021-2022(202210),12900,RCOD,395,1,Comprehensive Exam,0,0,AG,4,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rami,Zurayk,,,
Fall 2021-2022(202210),13380,RCOD,395,2,Comprehensive Exam,0,0,AG,0,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Salma,Talhouk,,,
Fall 2021-2022(202210),12901,RCOD,399,1,M.S. Thesis,6,7.21,AG,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rami,Zurayk,,,
Fall 2021-2022(202210),13318,RCOD,399A,1,M.S. Thesis,6,0,AG,0,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rabi H.,Mohtar,,,
Fall 2021-2022(202210),12902,RCOD,399B,1,M.S. Thesis,6,0,AG,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ali,Chalak,,,
Fall 2021-2022(202210),13100,RCOD,399B,2,M.S. Thesis,6,0,AG,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Shady,Hamadeh,,,
Fall 2021-2022(202210),12903,RCOD,399C,1,M.S. Thesis,9,0,AG,0,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Hadi,Jaafar,,,
Spring 2021-2022(202220),22732,RCOD,305,1,Seminar,1,1,AG,3,12,1200,1250,AGRIC,325,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rami,Zurayk,,,
Spring 2021-2022(202220),22733,RCOD,344,1,Practicum,4,4,AG,0,10,1100,1257,AGRIC,325,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Shady,Hamadeh,,,
Spring 2021-2022(202220),22734,RCOD,395,1,Comprehensive Exam,0,0,AG,0,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rami,Zurayk,,,
Spring 2021-2022(202220),22735,RCOD,399,1,M.S. Thesis,6,7.21,AG,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rami,Zurayk,,,
Spring 2021-2022(202220),22736,RCOD,399A,1,M.S. Thesis,6,0,AG,0,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rami,Zurayk,,,
Spring 2021-2022(202220),22737,RCOD,399B,1,M.S. Thesis,6,0,AG,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rami,Zurayk,,,
Spring 2021-2022(202220),22738,RCOD,399C,1,M.S. Thesis,9,0,AG,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Giuliano,Martiniello,,,
